allevo/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/mail/Dockerfile
hroyrh/origin;examples/gitserver/Dockerfile
xiaods/docker;builder/dockerfile/parser/testfiles-negative/env_no_value/Dockerfile
burmanm/origin;images/builder/docker/sti-builder/Dockerfile
mackerelio/mkr;packaging/docker/deb/Dockerfile
KalleDK/compose;Dockerfile
bmicklea-ce/che;recipes/src/main/resources/go/web/Dockerfile
fdumpling/kolla;docker/openstack-base/Dockerfile.j2
armbuilds/golang;1.4/wheezy/Dockerfile
fike/dockerfiles;postgres/9.4-contrib-pt_BR/Dockerfile
koep/dockerfiles;chromium/Dockerfile
bpetri/nativeLoad;extras/Dockerfiles/Dockerfile.arm
cameronbrunner/vm;image/android-x86/Dockerfile
mkulke/kubernetes;test/soak/cauldron/Dockerfile
weizhenwei/docker;docs/sources/examples/mongodb/Dockerfile
ZenikaOuest/docker;contrib/builder/rpm/centos-7/Dockerfile
ZenikaOuest/docker;man/Dockerfile.5.md
Frostman/kubernetes;examples/cluster-dns/images/frontend/Dockerfile
izuolan/dockerfiles;base/python/python2/Dockerfile
kelcecil/kubernetes;cluster/mesos/docker/test/Dockerfile
sacharya/kubernetes;contrib/for-tests/jessie-dnsutils/Dockerfile
t10471/docker-java7;Dockerfile
vergecurrency/VERGE;contrib/docker/ubuntu14/Dockerfile
SadTreeFriends/spree;guides/Dockerfile
VinceBarresi/compose;tests/fixtures/dockerfile-with-volume/Dockerfile
adamreese/kubernetes;cluster/addons/registry/images/Dockerfile
oleg2oleg/kubernetes;test/images/resource-consumer/Dockerfile
birkskyum/mongoclient;Dockerfile
dacjames/docker-spark;slave/Dockerfile
dvallance/wisethinker;Dockerfile
kubernetes/kubernetes;test/images/logs-generator/Dockerfile
stephenrlouie/contrib;images/ubuntu-slim/Dockerfile.build
nodesource/docker-node;fedora/23/node/5.12.0/Dockerfile
agiovann/Constrained_NMF;Dockerfile
syystunturi/devops-notes;docker/Dockerfile
julian-labuschagne/drupal;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/iolib/summary2.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/examples/try_polytrend.py
isotopsweden/docker-farmer;vendor/github.com/docker/docker/vendor/src/github.com/vdemeester/shakers/Dockerfile
okuchaiev/tensorflow-float16;tensorflow/tools/ci_build/Dockerfile.gpu
hugocfranciscon/atividade-zf3;Dockerfile
virtdb/virtdb-googlesheet-provider;Dockerfile
ender74/yart;docker/build/Dockerfile
keyan/docker;contrib/host-integration/Dockerfile.dev
MjAbuz/docker;contrib/desktop-integration/chromium/Dockerfile
hacpai/docker;contrib/builder/deb/debian-stretch/Dockerfile
hallyn/docker;docs/examples/postgresql_service.Dockerfile
isubuz/docker;contrib/builder/rpm/amd64/centos-7/Dockerfile
LoeAple/docker;Dockerfile
alibaba/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
failharder/pry;Dockerfile
lsheiba/docker;builder/parser/testfiles/weechat/Dockerfile
mtanlee/docker;contrib/syscall-test/Dockerfile
kkirsche/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
lvlv/kubernetes;examples/phabricator/php-phabricator/Dockerfile
slattery/Haraka;Dockerfile
stevvooe/docker;contrib/builder/deb/armhf/debian-jessie/Dockerfile
studzien/erlang;R16B02/Dockerfile
webratio/docker;phonegap/4.2.0-0.24.2/Dockerfile
HankCoder/docker;builder/parser/testfiles/json/Dockerfile
Pensu/kubernetes;cluster/images/flannel/Dockerfile
Q-Lee/kubernetes;build/build-image/cross/Dockerfile
gmanfunky/docker;builder/parser/testfiles/znc/Dockerfile
nathan-d/helpbot;Dockerfile
stcarrez/ada-awa;docker/Dockerfile
eoverfield/SPMEAN;Dockerfile
ponsfrilus/docker;docs/sources/articles/https/Dockerfile
yangoliver/docker;builder/parser/testfiles/weechat/Dockerfile
4is2cbetter/docker;builder/parser/testfiles/continueIndent/Dockerfile
ghoffer/kubernetes;test/images/dnsutils/Dockerfile
ingvagabund/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/brimstone-docker-consul/Dockerfile
maxamillion/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
ripcurld00d/origin;test/extended/fixtures/build-secrets/Dockerfile
squeedee/concourse;ci/dockerfiles/docs-ci/Dockerfile
LeSuisse/challenges;grehack_2015/web_150/Dockerfile
Sodtseren/jobfinder;Dockerfile
caracan/demobuilder;layers/rhel-server-7:gui:ose-3.2:offline/@target/registry.access.redhat.com/jboss-fuse-6/fis-karaf-openshift/Dockerfile
fengzhanglab/GUIDES;Dockerfile
paparazzi/paparazzi;docker/dep/Dockerfile
pascaldekloe/docker;contrib/syntax/kate/Dockerfile.xml
stensonb/kubernetes;docs/user-guide/environment-guide/containers/show/Dockerfile
stensonb/kubernetes;examples/guestbook/php-redis/Dockerfile
GrimTheReaper/docker;docs/sources/examples/mongodb/Dockerfile
bison92/bisonwebpage;Dockerfile
deserted/letsencrypt;Dockerfile
franklyhuan/docker-1;builder/parser/testfiles/cpuguy83-nagios/Dockerfile
ollie314/docker-java;src/test/resources/busyboxDockerfile/Dockerfile
fm-productnode/docker;php_mongo/Dockerfile
garage-env/garage-env;setups/php-hhvm/Dockerfile
sh1nu11bi/dockerfiles;transmission/Dockerfile
testmycode/tmc-server;DockerfileBase
m1093782566/kubernetes;test/images/port-forward-tester/Dockerfile
stefanschneider/docker;builder/parser/testfiles/cpuguy83-nagios/Dockerfile
anshimagupta/kubernetes;examples/kubectl-container/Dockerfile
andyzheng0831/kubernetes;cluster/images/kubemark/Dockerfile
idugalic/micro-ecommerce;microservices/microservices-orders/Dockerfile
lvshuchengyin/kubernetes;examples/guestbook/redis-slave/Dockerfile
smunilla/source-to-image;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
zhangyancoder/kubernetes;examples/spark/images/worker/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Flask-0.10.1-py2.7.egg/flask/app.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/kernel/ioloop/__init__.pyc
timendum/Youtube-dl-WebUI;docker/Dockerfile
fernandezvara/leofs_docker;leofs_center/Dockerfile
olalonde/docker-insight-api;Dockerfile
resin-io-library/base-images;node/beaglebone-green/fedora/6.6/Dockerfile
resin-io-library/base-images;python/ts4900/fedora/2/Dockerfile
shenshouer/coreos-kubernetes;multi-node/vagrant/examples/phabricator/php-phabricator/Dockerfile
anduintransaction/Dockerfiles;graylog/mongodb/Dockerfile
iron-hulk/DA-Docker-Container;Dockerfile
kishikawakatsumi/Mozc-for-iOS;src/docker/ubuntu14.04/Dockerfile
9seconds/docker-vagrant-python;2.6/Dockerfile
awslabs/aws-go-wordfreq-sample;Dockerfile
projectatomic/nulecule-library;apache-centos7-atomicapp/Dockerfile
dita-community/dita-ot-project-docker;dita-ot/Dockerfile
anuradhakarunamuni/private-paas-cartridges;wso2as/5.2.1/docker/Dockerfile
mc-b/IoTKit;docker/maven/Dockerfile
mway08/grpc;tools/dockerfile/grpc_clang/Dockerfile
remh/docker;contrib/builder/rpm/oraclelinux-7/Dockerfile
zhaili/aria2;Dockerfile.mingw
fsouza/docker;vendor/src/github.com/docker/libnetwork/Dockerfile.build
bacoboy/docker;builder/parser/testfiles/docker/Dockerfile
childsb/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/continueIndent/Dockerfile
dnephin/docker;builder/dockerfile/parser/testfiles/nginx/Dockerfile
hitsoft/docker;wine/Dockerfile
manchoz/docker;contrib/desktop-integration/chromium/Dockerfile
rsc/kubernetes;cluster/mesos/docker/km/Dockerfile
wangcy6/docker;builder/parser/testfiles/nginx/Dockerfile
fdumpling/kolla;docker/designate/designate-backend-bind9/Dockerfile.j2
hhrutter/docker;builder/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
hhrutter/docker;contrib/builder/deb/ubuntu-debootstrap-vivid/Dockerfile
