mehulsbhatt/docker-ovs;1.10.2/Dockerfile
shrids/kubernetes;test/images/mount-tester-user/Dockerfile
jay-lau/kubernetes;test/images/dnsutils/Dockerfile
liggitt/kubernetes;test/soak/cauldron/Dockerfile
nabeken/go-api-now;Dockerfile
openit-lib/kirpich;Dockerfile
amirakhmedov/ignite;modules/docker/1.1.0/Dockerfile
hvescovi/kubernetes;cluster/images/kubelet/Dockerfile
TestingCI/kubernetes;examples/spark/images/driver/Dockerfile
alexellis/docker-arm;images/armv6/unicorn-arm/Dockerfile
docker-warrior/mysql;5.6/Dockerfile
scalp42/consul-nginx;Dockerfile
svalleru/dockerfiles;ubuntu-14.04/redis/Dockerfile
alexeyraspopov/jarvis;Dockerfile
guidefreitas/platform;docker/0.7/Dockerfile
moul/tty.scaleway.com;Dockerfile
ocsbrandon/kubernetes;examples/guestbook/php-redis/Dockerfile
ElephoneApp/kubernetes;cluster/images/kubelet/Dockerfile
GertiPoppel/kubernetes;test/images/volumes-tester/nfs/Dockerfile
ageekymonk/dockerfiles;skype/Dockerfile
chrisipa/docker-pwsafe;Dockerfile
qingyuancloud/qingyuan;release-0.19.0/examples/environment-guide/containers/backend/Dockerfile
LoveItLabs/PublicDocker;rails-server/Dockerfile
aveshagarwal/kubernetes;test/images/volumes-tester/iscsi/Dockerfile
chrislovecnm/kubernetes;test/images/dnsutils/Dockerfile
gambol99/docker-embassy;example/Dockerfile
default-to-open/rpmgrill;dev-tools/docker/devenv/f21/Dockerfile
ewindisch/trinity-docker;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/linalg/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/html/static/notebook/js/main.js
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/boto-2.19.0-py2.7.egg/boto/redshift/layer1.py
bazooka-ci/bazooka-lang-go;runner/1.3.3/Dockerfile
at-locbm/test_docker_cm_api;laradock/mariadb/Dockerfile
NetstackDE/docker-teamspeak3;Dockerfile
RyanKirby/Cornerstone-Church;Dockerfile
ahmetalpbalkan/aspnet-docker;1.0.0-beta2/Dockerfile
resin-io-library/base-images;node/beaglebone-green-wifi/fedora/6.8/23/Dockerfile
resin-io-library/base-images;golang/cubox-i/debian/1.4/onbuild/Dockerfile
trevorackerman/traffic_control;infrastructure/docker/build/Dockerfile-traffic_monitor
21stio/nodejs-collection-adapter;docker/Dockerfile
ibuildthecloud/go-machine-service;Dockerfile.dapper
daniellawrence/ansible-puppetmaster;tests/Dockerfile-Centos
thejordanclark/zabbix-community-docker;Dockerfile/zabbix-server-3.0/container-files-base/etc/nginx/nginx.d/20-logs.conf
Mesa/oxid;Dockerfile
adelez/grpc;tools/dockerfile/grpc_linuxbrew/Dockerfile
sreecha/grpc;tools/dockerfile/stress_test/grpc_interop_stress_node/Dockerfile
agrafix/stack;scripts/release/templates/rpm/docker/Dockerfile
twaugh/docker;vendor/src/github.com/docker/notary/signer.Dockerfile
ashcrow/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/multiple-volumes/Dockerfile
dnephin/docker;contrib/builder/deb/amd64/ubuntu-precise/Dockerfile
gzoller/docker;contrib/desktop-integration/chromium/Dockerfile
jloehel/Portus;Dockerfile
tengyifei/grpc;tools/dockerfile/distribtest/ruby_fedora21_x64/Dockerfile
tpounds/docker;vendor/src/github.com/docker/notary/server.Dockerfile
goldenbull/grpc;tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile
kubernetes/kops;vendor/k8s.io/kubernetes/cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
ljishen/kividry;benchmark-suite/nbench/Dockerfile
sg00dwin/origin;vendor/k8s.io/kubernetes/examples/explorer/Dockerfile
akeemw/drupal-vm;roles/geerlingguy.mailhog/tests/Dockerfile.centos-6
xiekeyang/docker;builder/dockerfile/parser/testfiles/multiple-volumes/Dockerfile
foxish/kubernetes;cluster/images/etcd/Dockerfile
