mehulsbhatt/docker-ovs;1.10.2/Dockerfile
probonopd/AppImages;recipes/subsurface/Dockerfile
rajdeepd/kubernetes;cluster/images/nginx/Dockerfile
webhippie/buildstep;ubuntu/12.04/Dockerfile
DockerPool/sshd-base;Dockerfile
michabbb-backup/uuid;util/hhvm-docker/Dockerfile
revive/bamboo-shoot3;ci-tasks/gcc48/Dockerfile
rstiller/dockerfiles;haproxy/Dockerfile
ericchiang/kubernetes;test/images/volumes-tester/gluster/Dockerfile
fallending/kubernetes;examples/nfs/nfs-data/Dockerfile
gameontext/gameon-map;map-wlpcfg/Dockerfile
mariomarin/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
praneybehl/kubernetes;examples/guestbook-go/_src/Dockerfile
zhaoic/meteord-taobao;base/Dockerfile
dave-tucker/docker-ovs;2.0/Dockerfile
derekparker/kubernetes;test/images/fakegitserver/Dockerfile
inn1983/docker-builder;sys-cluster/ceph/latest/Dockerfile
wallnerryan/kubernetes;cluster/mesos/docker/socat/Dockerfile
LoveItLabs/PublicDocker;ubuntu-ruby-base/Dockerfile
SanthiSridharan/Hygieia;api/docker/Dockerfile
datacleaner/DataCleaner;monitor/ui/src/test/resources/Dockerfile
maciaszczykm/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
raffaelespazzoli/origin;vendor/k8s.io/kubernetes/examples/storage/hazelcast/image/Dockerfile
thnkloud9/verifiedpixel;server/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/MetaSV-0.5-py2.7.egg/metasv.bak/resources/hg19.gaps.bed
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Cython/Includes/cpython/list.pxd
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/distutils/command/install_clib.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Flask-0.10.1-py2.7.egg/flask/testsuite/test_apps/moduleapp/apps/frontend/__init__.py
fmarier/letsencrypt-debian;Dockerfile
dimasch/docker-nginx-magento;Dockerfile
resin-io-library/base-images;node/zc702-zynq7/fedora/default/23/Dockerfile
resin-io-library/base-images;node/apalis-imx6/fedora/0.12/23/Dockerfile
resin-io-library/base-images;node/qemux86-64/debian/5.12/onbuild/Dockerfile
resin-io-library/base-images;buildpack-deps/qemux86/debian/jessie/scm/Dockerfile
robertellis100/myang2tableproj2;Dockerfile
RJPercival/certificate-transparency;Dockerfile
albertonavarro/cabotrafalgar-gamemanager;springboot/src/main/docker/Dockerfile
upmio/docker;contrib/builder/rpm/amd64/fedora-23/Dockerfile
AmeBel/docker;packaging/archlinux/Dockerfile
dggr/Ghost-sr;Dockerfile
pydima/docker;builder/dockerfile/parser/testfiles/multiple-volumes/Dockerfile
Mokolea/docker;Dockerfile.armhf
anshulr/docker;contrib/syntax/kate/Dockerfile.xml
dklempner/grpc;tools/dockerfile/distribtest/python_opensuse_x64/Dockerfile
lsheiba/docker;contrib/builder/rpm/oraclelinux-6/Dockerfile
marscher/tmpnb;Dockerfile
wenchma/docker;contrib/syscall-test/Dockerfile
Timz/qstart.rc4;Dockerfile
aweiteka/origin;test/extended/fixtures/test-build-app/Dockerfile
bgrissin/notary;Dockerfile
rhuss/gofabric8;vendor/github.com/docker/docker/contrib/builder/rpm/fedora-22/Dockerfile
MikeJoyce/docker;docs/examples/running_ssh_service.Dockerfile
cgwalters/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
fcvarela/contrib;mungegithub/Dockerfile-cherrypick
koep/dockerfiles;clean-registry/Dockerfile
stannie42/docker;contrib/builder/deb/debian-wheezy/Dockerfile
gonkulator/docker;Dockerfile
hersshel/hersshel;Dockerfile
knodir/kubernetes;examples/rethinkdb/image/Dockerfile
ingvagabund/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
tomverelst/prommer;vendor/github.com/docker/docker/contrib/builder/rpm/amd64/fedora-23/Dockerfile
estesp/distribution;contrib/docker-integration/nginx/Dockerfile
fabric8io/gofabric8;vendor/github.com/openshift/origin/images/release/Dockerfile
nunpa/configuration;docker/build/discovery/Dockerfile
openva/crump-docker;Dockerfile
rothgar/dockerfiles;evince/Dockerfile
sacharya/kubernetes;examples/spark/images/base/Dockerfile
stefanberger/docker;builder/dockerfile/parser/testfiles/tf2/Dockerfile
NinGoo/docker-ubuntu;Dockerfile
aaronlevy/kubernetes;release-0.20.0/examples/environment-guide/containers/backend/Dockerfile
alexhersh/kubernetes;examples/job/work-queue-2/Dockerfile
deepglint/kubernetes;test/images/volumes-tester/nfs/Dockerfile
jc-m/docker-medallia;Dockerfile.gccgo
mstanleyjones/docker;vendor/src/github.com/docker/notary/Dockerfile
pwittrock/kubernetes;examples/kubectl-container/Dockerfile
vulpecula/kubernetes;test/images/entrypoint-tester/Dockerfile
InverseLina/dockerImg;mysql/5.6/Dockerfile
MichaelM223/Playbooks;roles/mysql/tests/Dockerfile.centos-6
infoslack/dockerfiles;gparted/Dockerfile
leroy-chen/kubernetes;examples/cassandra/image/Dockerfile
yp-engineering/docker;contrib/builder/rpm/amd64/opensuse-13.2/Dockerfile
binhex/arch-libresonic;Dockerfile
mdevilliers/kubernetes;cluster/images/etcd/Dockerfile
nodesource/docker-node;fedora/23/node/4.4.5/Dockerfile
ibm-contribs/kubernetes;examples/guestbook-go/_src/guestbook/Dockerfile
chrishiestand/kubernetes;examples/update-demo/images/kitten/Dockerfile
ojarva/home-info-display;ping_publisher/Dockerfile
ewolinetz/source-to-image;test/integration/images/sti-fake-no-tar/Dockerfile
michaelhuettermann/sandbox;all/src/main/resources/docker/Infra/Dockerfile
nabinno/CentOS-Dockerfiles;mariadb/centos7/Dockerfile
v8-suresh/meanMoneyManager;Dockerfile
resin-io-library/base-images;golang/odroid-c1/fedora/1.7/onbuild/Dockerfile
resin-io-library/base-images;golang/ts7700/debian/1.4/onbuild/Dockerfile
kyani-inc/docker-newrelic-php;modx/Dockerfile
clawio/service.localstore.data;Dockerfile
TrurlMcByte/docker-web-services;prosody/Dockerfile
nanobox-io/nanobox-docker-redis;3.0/Dockerfile
OpenLMIS/openlmis-template-service;Dockerfile
caesarxuchao/caesarxuchao.github.io;_v1.0/examples/https-nginx/Dockerfile
bencawkwell/dockerfile-dwarffortress;Dockerfile
hardproblems/pinterest-teletraan-docker;deploy-board/Dockerfile
imiuka/grpc;templates/tools/dockerfile/interoptest/grpc_interop_php/Dockerfile.template
lmesz/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
michaloo/node;Dockerfile
saada/compose;docs/Dockerfile
mdshuai/origin;test/extended/testdata/build-quota/Dockerfile
daehyeok/docker;docs/examples/apt-cacher-ng.Dockerfile
j-bennet/docker;Dockerfile.simple
maleck13/origin;vendor/k8s.io/kubernetes/examples/cluster-dns/images/backend/Dockerfile
mcfatealan/rDSN;src/dist/deployment_service/Dockerfile
scollier/docker;contrib/builder/rpm/opensuse-13.2/Dockerfile
tiwillia/origin;test/extended/testdata/gssapi/ubuntu/kerberos/Dockerfile
mjg59/kubernetes;build/build-image/Dockerfile
roobert/influxdb;Dockerfile_test_ubuntu32
youprofit/docker;builder/parser/testfiles/ADD-COPY-with-JSON/Dockerfile
Amey-D/kubernetes;cluster/images/etcd/Dockerfile
mengzechao/docker;contrib/builder/deb/debian-wheezy/Dockerfile
cconstantine/tubes;Dockerfile
jay754/dockerfiles;gimp/Dockerfile
mariussturm/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
mfojtik/sti-nodejs;4/Dockerfile
mopsalarm/gif2webm;Dockerfile
oess/docker-images;oenotebook3/Dockerfile
suiyuan2009/docker;docs/examples/running_ssh_service.Dockerfile
timhsutw/honeyterm;honeyterm/Dockerfile
v1k0d3n/kubernetes;examples/spark/images/worker/Dockerfile
Guy-Koren/fastteach;Dockerfile
aaronmyatt/mv_shorl;compose/nginx/Dockerfile
amirakhmedov/ignite;modules/docker/1.3.0/Dockerfile
kamigerami/codelabs;Dockerfile
rupakg/alpine-rails;Dockerfile
sidharthgoel/docker;contrib/syntax/kate/Dockerfile.xml
ihcsim/docker-wso2is;Dockerfile
joshiste/spring-boot;spring-boot-integration-tests/spring-boot-launch-script-tests/src/test/resources/conf/Ubuntu/trusty-20160503.1/Dockerfile
z00223295/kubernetes;test/images/porter/Dockerfile
NathanMcCauley/docker;contrib/desktop-integration/chromium/Dockerfile
cloudcastle/motd-http;Dockerfile
cpilsworth/docker-aem;AEM/Dockerfile-AEM-publish
patvdleer/raspquarium;Dockerfile
postit12/docker-files;d-jnks-base/Dockerfile
choldrim/docker-distcc;Dockerfile
ihcsim/docker-wso2apim;Dockerfile
StevenLudwig/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
marwoodandrew/superdesk;Dockerfile
tinify/wordpress-plugin;config/Dockerfile-wordpress-43
disaster37/tomcat_docker;Dockerfile
ilidiomartins/kubernetes;cluster/images/kubemark/Dockerfile
olegshaldybin/kubernetes;cluster/addons/python-image/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/boto-2.19.0-py2.7.egg/boto/cloudformation/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/compute/drivers/rimuhosting.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/distutils/tests/swig_ext/setup.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/bx_python-0.7.1-py2.7-linux-x86_64.egg/EGG-INFO/scripts/wiggle_to_chr_binned_array.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/sparse/sparsetools.py
mlcamilli/headless-browser;Dockerfile
cedricziel/docker-php-tools;5.6/Dockerfile
AntonioRossi/docker-netatalk;Dockerfile
resin-io-library/base-images;device-base/qemux86/alpine/edge/Dockerfile
resin-io-library/base-images;device-base/colibri-imx6/fedora/24/Dockerfile
vicamo/docker-buildpack-deps;jessie/armhf/scm/Dockerfile
votinginfoproject/sms-worker;Dockerfile
agilemobiledev/cloud-examples;mysink/Dockerfile
ricardoamaro/drupalci_testbot;containers/base/base/Dockerfile
wetransform-os/conversion-gdal;Dockerfile
zabbix/zabbix-community-docker;Dockerfile/zabbix-2.4/container-files-base/config/init/10-php-fpm-status.sh
HEADS-project/WeatherStationDemo;WeatherStationArduino/src/main/docker/Dockerfile
sneakyx/egroupwareserver_extended;Dockerfile
tiangolo/uwsgi-nginx-flask-docker;flask-python3.5-upload/Dockerfile
metalivedev/dockerhubbuildsequence;base/Dockerfile
yyolk/buildpack-deps-graphicsmagick;stretch/curl/Dockerfile
dockerizedrupal/docker-base-debian-jessie;Dockerfile
gitinsky/ansible-role-hbase-master-dockerized;templates/Dockerfile
toli/docker;builder/dockerfile/parser/testfiles/mail/Dockerfile
tomz/bigtop;docker/bigtop-puppet/opensuse-13.2/Dockerfile
mruse/docker;builder/parser/testfiles-negative/shykes-nested-json/Dockerfile
wlan0/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
xuant/origin;examples/deployment/Dockerfile
ChoyHy/docker;contrib/host-integration/Dockerfile.dev
baconbkk/Lava;Dockerfile
booyaa/docker;builder/parser/testfiles/json/Dockerfile
mapuri/docker;contrib/builder/rpm/centos-7/Dockerfile
14rcole/docker;contrib/builder/rpm/fedora-21/Dockerfile
frachel/docker;builder/dockerfile/parser/testfiles/brimstone-docker-consul/Dockerfile
jecarey/docker;builder/dockerfile/parser/testfiles/influxdb/Dockerfile
mauidev/docker;contrib/builder/deb/ubuntu-vivid/Dockerfile
Deniem/superset;vendor/bower/ace-builds/demo/kitchen-sink/docs/Dockerfile
hachreak/zenodo;docker/statsd/Dockerfile
mgoelzer/docker;contrib/syscall-test/Dockerfile
mountkin/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
skatsuta/docker;builder/dockerfile/parser/testfiles-negative/shykes-nested-json/Dockerfile
spadgett/origin;test/extended/testdata/hello-builder/Dockerfile
weweadsl/thrift;build/docker/ubuntu/Dockerfile
AdoHe/kubernetes;examples/meteor/dockerbase/Dockerfile
andyxator/docker;contrib/builder/deb/ubuntu-wily/Dockerfile
appcelerator/amp;vendor/golang.org/x/net/http2/Dockerfile
bogdandrutu/grpc;tools/dockerfile/distribtest/csharp_ubuntu1510_x64/Dockerfile
j4ve1in/dotfiles;Dockerfile
pires/kubernetes;test/images/volumes-tester/rbd/Dockerfile
xychu/kubernetes;test/images/volumes-tester/iscsi/Dockerfile
beni55/kubernetes;test/images/porter/Dockerfile
coufon/kubernetes;build/build-image/cross/Dockerfile
fifsky/docker-php;mysql/Dockerfile
gnudeep/app-cloud;modules/resources/dockerfiles/wso2as/url/Dockerfile.wso2as.6.0.0-m3
guruvan/gentoo-bb;dock/guruvan/images/jre-oracle/Dockerfile.template
mijia/dockerfiles;centos-rocksdb/v3.13.2/Dockerfile
nickschuch/docker;builder/parser/testfiles/continueIndent/Dockerfile
pugna0/kubernetes;examples/nfs/exporter/Dockerfile
vldpyatkov/ignite;modules/docker/Dockerfile
ZhuPeng/kubernetes;examples/meteor/dockerbase/Dockerfile
ironcladlou/origin;vendor/k8s.io/kubernetes/examples/celery-rabbitmq/flower/Dockerfile
nodejs/docker-node;6.9/slim/Dockerfile
sharifmamun/docker;docs/examples/mongodb/Dockerfile
wb14123/kubernetes;examples/spark/images/master/Dockerfile
bsmr-docker/compose;tests/fixtures/dockerfile_with_entrypoint/Dockerfile
dongjiaqiang/docker;contrib/desktop-integration/chromium/Dockerfile
izuolan/dockerfiles;base/golang/dev/Dockerfile
jim-cooley/dotfiles;application-support/brackets/extensions/user/dockerfile-syntax-highlighter/Dockerfile.jacoblex
scollier/kubernetes;test/images/volumes-tester/gluster/Dockerfile
thnkloud9/superdesk;Dockerfile
AnselZhangGit/docker;contrib/syntax/kate/Dockerfile.xml
alexbrand/kubernetes;cluster/mesos/docker/socat/Dockerfile
brady-vitrano/dsgrid;files/selenium/Dockerfile
itlenergy/server-api;docker/Dockerfile
salizzar/dockerfiles;centos/7/fpm-cookery/Dockerfile
w4rlock/vue-js-mongo;Dockerfile
attakei/php-qiita-ism;Dockerfile
cf-furnace/k8s-stager;docker-image/Dockerfile
clintonskitson/docker;contrib/builder/deb/ubuntu-trusty/Dockerfile
dockoey/jupyter-scala;211.jdk7/Dockerfile
jwarlander/docker-omd;Dockerfile
monokrome/docker-node;Dockerfile
nlamirault/kubernetes;build/build-image/cross/Dockerfile
openstack/kloudbuster;Dockerfile
paperstreet/cockroach;build/Dockerfile
wingedkiwi/kubernetes;contrib/git-sync/demo/hugo/Dockerfile
jasonparekh/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
chrislovecnm/kubernetes;test/images/jessie-dnsutils/Dockerfile
openblockchain/obc-peer;obc-ca/Dockerfile
philipp-x/docker-django;Dockerfile
sleepyfox/docker-racket;Dockerfile
ZachBray/docker-dev-envs;vim/rust/template/Dockerfile
awyrough/docker-logstash;1.4/test/logstash-configtest/Dockerfile
nuxeo/nuxeo-tools-docker;libsass/Dockerfile
yxxyun/shadowsocks-libev;docker/ubuntu/Dockerfile
dave-tucker/hp-sdn-client;Dockerfile
elsonrodriguez/kubernetes;examples/guestbook-go/_src/guestbook/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Pillow-2.3.0-py2.7-linux-x86_64.egg/PIL/ImageColor.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/pysam-0.7.5-py2.7-linux-x86_64.egg/EGG-INFO/PKG-INFO
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/fftpack/fftpack_version.py
williamsandrew/kubernetes;examples/hazelcast/image/Dockerfile
CivicKnowledge/ambry-admin;ambry_admin/docker/proxy/Dockerfile
BoiseCloudMeetup/DockerDemo;DemoDockerfile/Dockerfile
imsplitbit/flask_user_group;Dockerfile
immuta/bakula-twitter-events;Dockerfile
sigita42/docker-postgres-osm;Dockerfile
foozmeat/django-ordered-model;Dockerfile
CrunchyData/crunchy-containers;rhel7/9.3/Dockerfile.watch.rhel7
William-Yeh/ansible-elasticsearch;test/Dockerfile-ubuntu14.04
alvinteh/docker-compose-weave-sample;node/etc/Dockerfile
nsg/kaiwa;Dockerfile
fuwjax/daft;daft/Dockerfile
moul/docker;builder/parser/testfiles/znc/Dockerfile
boite/docker;builder/parser/testfiles/docker/Dockerfile
jdhenke/tools;cmd/tip/Dockerfile
ntrvic/docker;contrib/desktop-integration/chromium/Dockerfile
acrellin/mltsp;dockerfiles/base/Dockerfile
biddyweb/dokku;tests/apps/dockerfile/Dockerfile
elancom/docker;contrib/builder/deb/ubuntu-debootstrap-trusty/Dockerfile
jgeiger/docker;builder/parser/testfiles/escapes/Dockerfile
klshxsh/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
thockin/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
yasp-dota/yasp;Dockerfile
Luzifer/go-ipfs;test/3nodetest/client/Dockerfile
Neverous/docker;builder/dockerfile/parser/testfiles/znc/Dockerfile
rmmh/kubernetes;build/debian-iptables/Dockerfile
yoshiotu/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
arkeys/trustygit;Dockerfile
cloudfly/arsenal;Dockerfile
emoronayuso/wiki;Dockerfile
kdebrab/opengrid;Dockerfile.dev
lbthomsen/docker;Dockerfile.simple
pinterb/PanteraS;infrastructure/Dockerfile
talolard/compose;tests/fixtures/simple-dockerfile/Dockerfile
vongalpha/origin;Godeps/_workspace/src/github.com/docker/distribution/project/dev-image/Dockerfile
warmwaffles/rust;Dockerfile
25th-floor/ttrack;Dockerfile.test
colhom/kubernetes;examples/cluster-dns/images/frontend/Dockerfile
fabioy/kubernetes;test/images/resource-consumer/Dockerfile
honeylex/honeylex;var/docker/Dockerfile
mnshaw/kubernetes;examples/guestbook-go/_src/Dockerfile
xuwang/docker-dev;images/synapse/Dockerfile
LEDS/sipac-backend;dockerfiles/postgres/Dockerfile
OnePaaS/kubernetes;examples/spark/images/base/Dockerfile
daniel-j-born/grpc;templates/tools/dockerfile/stress_test/grpc_interop_stress_python/Dockerfile.template
hironobu-s/novassh;Dockerfile
ingvagabund/origin;images/openldap/Dockerfile
marimokkori/docker;Dockerfile
torz/docker-stacks;all-spark-notebook/Dockerfile
willmtemple/docker;Dockerfile.gccgo
Dataman-Cloud/drone;vendor/github.com/go-swagger/go-swagger/Dockerfile
capkurmagati/docker;man/Dockerfile.aarch64
cgvarela/kubernetes;examples/spark/images/driver/Dockerfile
codeb2cc/kubernetes;test/images/serve_hostname/Dockerfile
rawlingsj/gofabric8;vendor/k8s.io/kubernetes/examples/cluster-dns/images/frontend/Dockerfile
s7v7nislands/docker;Dockerfile.ppc64le
xiejunan/kubernetes;contrib/logging/fluentd-sidecar-es/Dockerfile
geovanisouza92/flynn;Godeps/_workspace/src/github.com/flynn/go-tuf/client/testdata/generate/Dockerfile
gtsalles/dockerfiles;gcalcli/Dockerfile
jfreites/dockerfiles;ncmpc/Dockerfile
lukaszraczylo/docker;man/Dockerfile
dcthree/docker-fuseki;Dockerfile
jfrazelle/dockerfiles;certbot/Dockerfile
ngineered/dockerfiles;pms/Dockerfile
sittercity/kubernetes;hack/gen-swagger-doc/Dockerfile
yp-engineering/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
inn1983/docker-builder;dev-db/redis-server/latest/Dockerfile
Acidburn0zzz/kubernetes;build/pause/Dockerfile
KazukiOhashi/kubernetes;Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile
danieldreier/kubernetes;test/images/fakegitserver/Dockerfile
elipiwas/DockerBirthday;builder/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
zhengguoyong/kubernetes;test/images/port-forward-tester/Dockerfile
NunoEdgarGub1/kubernetes;examples/k8petstore/redis-master/Dockerfile
NunoEdgarGub1/kubernetes;examples/k8petstore/web-server/Dockerfile
anusha-ragunathan/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
brosander/pentaho-docker;common/postgres/Dockerfile
chrishiestand/kubernetes;examples/rethinkdb/image/Dockerfile
jpsingleton/screenly-ose;Dockerfile
learnweb/docker-opencast;Dockerfiles/worker/assets/etc/org.opencastproject.organization-mh_default_org.cfg
baseboxorg/autobuild-apps;basebox/Dockerfile
errordeveloper/kubernetes;examples/storage/redis/image/Dockerfile
juju-solutions/kubernetes;build/build-image/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/testing/plugin/ipdoctest.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/khmer-1.1-py2.7-linux-x86_64.egg/khmer/tests/test-data/random-20-a.fa
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/PopGen/SimCoal/Template.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/compute/fixtures/cloudstack/startVirtualMachine_default.json
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Sphinx-1.2.3-py2.7.egg/sphinx/ext/viewcode.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/SQLAlchemy-0.9.7-py2.7-linux-x86_64.egg/sqlalchemy/sql/visitors.py
coolhacks/kubernetes-hacks;dockerfiles/kube-builder/Dockerfile
vimagick/shadowsocks-libev;docker/alpine/Dockerfile
lstephen/docker-oracle-java;8/Dockerfile
tiborsimko/opendata.cern.ch;Dockerfile
gosuri/ap-workshop-cookbooks;provisioner/templates/default/base/Dockerfile.erb
resin-io-library/base-images;golang/nuc/fedora/1.4/Dockerfile
resin-io-library/base-images;golang/odroid-c1/fedora/1.7/slim/Dockerfile
ywfwj2008/docker-tengine-php;5.5/Dockerfile
terencewestphal/swarm-builder;Dockerfile
hosuaby/example-restful-project;Dockerfile-dev
rafasis1986/EngineeringMidLevel;container/compose/flask/Dockerfile
gtaylor/dockerized-image-crawler;Dockerfile
mauricioklein/docker-compose-api;spec/docker-compose/fixtures/Dockerfile
tiangolo/uwsgi-nginx-flask-docker;example-flask-python3.5-upload/Dockerfile
jianqiu/bosh-softlayer-cpi-release;ci/docker/wangjq238.softlayer-cpi-release/Dockerfile
JeroenBoersma/docker-compose-development;php5/Dockerfile
bajh/docker;contrib/builder/rpm/fedora-21/Dockerfile
sleexyz/mal;fsharp/Dockerfile
apcera/kurma;build/docker/docker-aws-tools/Dockerfile
atyu30/tools;centos/6/docker/base/Dockerfile
fluxjs/fluxjs;Dockerfile
octoblu/go-go;templates/entrypoint/Dockerfile
alekhas/docker;builder/parser/testfiles/escapes/Dockerfile
chmouel/origin;Godeps/_workspace/src/k8s.io/kubernetes/examples/celery-rabbitmq/celery-app-add/Dockerfile
dnephin/docker;builder/dockerfile/parser/testfiles/escapes/Dockerfile
jakedahn/kolla;docker/ol/source/base/Dockerfile
prozeta/mother;dns/Dockerfile
zaxbbun/docker;contrib/host-integration/Dockerfile.dev
cloudcmd/docker;Dockerfile
cookpad/rrrspec;Dockerfile
dianping/docker;contrib/desktop-integration/iceweasel/Dockerfile
rombie/examples;docker/centos-builder/Dockerfile
rrampage/monitor;config/Dockerfile
BrianBland/docker;builder/dockerfile/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
brthor/core-setup;scripts/docker/ubuntu/Dockerfile
cloudflare/docker;Dockerfile.windows
combor/kubernetes;examples/rethinkdb/image/Dockerfile
coufon/kubernetes;test/images/volumes-tester/gluster/Dockerfile
edx/configuration;docker/build/go-agent/Dockerfile
ghaskins/obc-peer;obc-ca/Dockerfile
jcderr/kubernetes;cluster/images/kubelet/Dockerfile
maclof/kubernetes;examples/kubectl-container/Dockerfile
nfarrar/baseimage;image/Dockerfile
toolchainX/docker;contrib/builder/rpm/oraclelinux-7/Dockerfile
wu8685/kubernetes;test/images/netexec/Dockerfile
SeldonIO/seldon-vm;images/zookeeper_image/Dockerfile
carmark/hypernetes;test/images/mount-tester-user/Dockerfile
jameseggers/docker;contrib/httpserver/Dockerfile
liangchenye/docker;Dockerfile
tobiajo/kubernetes;cluster/images/etcd-empty-dir-cleanup/Dockerfile
gustajz/parking-api;docker/Dockerfile
justinsb/kubernetes;examples/liveness/image/Dockerfile
lleszczu/kubernetes;examples/explorer/Dockerfile
revinate/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
vefimova/kubernetes;test/images/n-way-http/Dockerfile
HideoYamauchi/docker;builder/parser/testfiles/flags/Dockerfile
PeerXu/peer-registry;Dockerfile
hq804116393/gitlabhq;docker/Dockerfile
jonboulle/kubernetes;test/images/network-tester/Dockerfile
ollie314/che-plugins;plugin-docker/che-plugin-docker-recipes/src/main/resources/java/web/tomee/Dockerfile
phnmnl/workflow-demo;OpenMS/OpenMSDockers/SpecLibSearcher/Dockerfile
spinolacastro/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/docker/Dockerfile
VelocityGrowth/huginn;docker/Dockerfile
colthreepv/raml-store;Dockerfile
linzichang/kubernetes;examples/spark/images/worker/Dockerfile
trriplejay/kubernetes;hack/gen-swagger-doc/Dockerfile
Elvisthacoder/kim-tech;node_modules/jsonpath/Dockerfile
RichardScothern/docker;builder/dockerfile/parser/testfiles/cpuguy83-nagios/Dockerfile
lukemarsden/kubernetes;examples/storage/mysql-galera/image/Dockerfile
muffinresearch/olympia;Dockerfile
pushtechnology/clocker;docker/src/main/resources/brooklyn/entity/container/docker/ubuntu/UsesJavaDockerfile
patocox/docker-deis-cli;Dockerfile
Infomaker/writer-toolbox;Dockerfile
ravihansa3000/kubernetes;cluster/addons/python-image/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/testing/ipunittest.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/requests-2.4.0-py2.7.egg/requests/packages/chardet/euctwfreq.pyc
DeployFaster/nodejs-docker;Dockerfile
coryroloff/docker-mediawiki;Dockerfile
everydayhero/rabbitmq-docker;Dockerfile
resin-io-library/base-images;node/odroid-c1/fedora/6.8/onbuild/Dockerfile
resin-io-library/base-images;golang/zc702-zynq7/alpine/1.5/onbuild/Dockerfile
containers101/cf-example-result;Dockerfile
docker-warrior/google-cloud-sdk;Dockerfile
josefcs/docker-alpine-templates;nginx/Dockerfile
michael-k/dockerfiles-jfrazelle;htop/Dockerfile
rthallisey/atomic-osp-installer;docker/ceilometer/ceilometer-central/Dockerfile
lalyos/glu;Dockerfile
vjpai/grpc;tools/dockerfile/interoptest/grpc_interop_php/Dockerfile
boite/docker;builder/parser/testfiles/mumble/Dockerfile
