championv/distribution;contrib/docker-integration/nginx/Dockerfile
jlowdermilk/kubernetes;build/pause/Dockerfile
nodesource/docker-node;ubuntu/vivid/node/4.4.1/Dockerfile
fellipecouto96/bootlint;Dockerfile
nubs/docker-php-minimal;php-7.0.1/Dockerfile
sdd330/dockercompetition;dockerbuild/Dockerfile
laslabs/docker-odoo-image;odoo70/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/compute/test_bluebox.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/examples/tsa/ex_var.pyc
nagucc/docker-gitbook-builder;Dockerfile
savoirfairelinux/ring-project;docker/Dockerfile_debian_9_i386
bradleyboy/docker-koken-apache;Dockerfile
mitre-cyber-academy/2015-cyberville-50-100;camera5/Dockerfile
ryanj/origin;images/pod/Dockerfile
Shinzu/docker;builder/parser/testfiles/nginx/Dockerfile
Tenk42/docker;docs/examples/running_riak_service.Dockerfile
anywhy/scylla;dist/docker/Dockerfile
bru7us/docker;contrib/builder/deb/debian-jessie/Dockerfile
technekes/nib;Dockerfile
sanimej/docker;contrib/builder/deb/ubuntu-debootstrap-precise/Dockerfile
Nordstrom/elwin;test/Dockerfile
calavera/docker;hack/infrastructure/docker-ci/registry-coverage/Dockerfile
coolsvap/docker;builder/parser/testfiles/ADD-COPY-with-JSON/Dockerfile
jongiddy/docker;contrib/builder/rpm/amd64/oraclelinux-7/Dockerfile
rajalokan/kolla;docker/designate/designate-poolmanager/Dockerfile.j2
ramr/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
resin-io/docker;builder/dockerfile/parser/testfiles/ADD-COPY-with-JSON/Dockerfile
Osso/dockerfiles;netatalk/Dockerfile
justintung/flynn;router/Dockerfile
lindenlab/docker;contrib/builder/rpm/amd64/fedora-24/Dockerfile
yuzhu/kubernetes;examples/spark/images/base/Dockerfile
Snesha/kubernetes;examples/cluster-dns/images/backend/Dockerfile
cilindrox/go-chat;Dockerfile
jackgr/kubernetes;build/pause/Dockerfile
sgotti/kubernetes;examples/https-nginx/Dockerfile
wescravens/docker;docs/Dockerfile
GNS3/gns3-registry;docker/ipterm/cli/Dockerfile
brightshine/docker;contrib/httpserver/Dockerfile
jagdeesh109/docker;contrib/builder/deb/debian-wheezy/Dockerfile
peter-mount/docker;debian-dev/src/main/docker/Dockerfile
wangcan2014/docker;docs/sources/examples/apt-cacher-ng.Dockerfile
fgimenez/kubernetes;test/images/volumes-tester/ceph/Dockerfile
gesrat-cisco/origin;examples/deployment/Dockerfile.v2
jetsanix/kubernetes;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
mikebrow/kubernetes;cluster/images/kubemark/Dockerfile
GrimTheReaper/docker;contrib/builder/deb/ubuntu-debootstrap-utopic/Dockerfile
nagendragpu/foodsoft;Dockerfile
pwittrock/kubernetes;cluster/mesos/docker/test/Dockerfile
ajohnstone/kubernetes;examples/k8petstore/redis/Dockerfile
amitkgupta/kubernetes;cluster/addons/dns/kube2sky/Dockerfile
konstruktoid/docker-1;Dockerfile.s390x
rochacon/distribution;project/dev-image/Dockerfile
JosephSalisbury/docker;man/Dockerfile.5.md
dchen1107/kubernetes-1;test/images/volumes-tester/rbd/Dockerfile
jonbrouse/docker-utils;mysql-client/Dockerfile
kikitux/hashicorp-demo;consul2/host/Dockerfile-web/Dockerfile
mdevilliers/kubernetes;examples/nfs/nfs-data/Dockerfile
nodesource/docker-node;debian/sid/node/6.2.0/Dockerfile
KazukiOhashi/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
amacneil/docker-bitcoin;classic/0.12.1cl1/Dockerfile
ravigadde/kube-scheduler;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
cedvan/docker-toran-proxy;Dockerfile
johnsandiford/dockerfiles;imagemin/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/screed-0.7.1-py2.7.egg/screed/pygr_api.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/discrete/discrete_margins.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/SeqIO/__init__.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/kernel/inprocess/channels.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/f2py/cfuncs.py
kelseyhightower/kubernetes;Godeps/_workspace/src/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
resin-io-library/base-images;node/vab820-quad/fedora/0.12/23/Dockerfile
meyertee/docker-teamcity-agent;Dockerfile
resin-io-projects/resin-aerofs;opensuse/Dockerfile
dinomulahusic/ProjectManagement;Dockerfile
HEG-Arc/paleo-2015-gestionair-control;Dockerfile
thehq/docker-crossbar-nodejs-service-consul;tests/router/Dockerfile
ncdc/docker;contrib/builder/rpm/fedora-22/Dockerfile
LK4D4/docker;builder/parser/testfiles/weechat/Dockerfile
YHM07/docker;builder/parser/testfiles-negative/shykes-nested-json/Dockerfile
mgood/docker;builder/parser/testfiles/jeztah-invalid-json-single-quotes/Dockerfile
wzzrd/docker;builder/parser/testfiles/cpuguy83-nagios/Dockerfile
mrfuxi/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
DualSpark/kops;vendor/github.com/docker/docker/builder/dockerfile/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
kpayson64/grpc;tools/dockerfile/distribtest/csharp_ubuntu1604_x64/Dockerfile
philiplb/flynn;test/apps/Dockerfile
rijincp/docker;contrib/httpserver/Dockerfile
rlugojr/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-single-quotes/Dockerfile
SharpLee/docker;man/Dockerfile
camallen/docker;builder/parser/testfiles/weechat/Dockerfile
dianping/docker;docs/man/Dockerfile
lvlv/kubernetes;docs/user-guide/environment-guide/containers/show/Dockerfile
rusenask/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/continueIndent/Dockerfile
AdoHe/kubernetes;examples/storage/redis/image/Dockerfile
NShani/app-cloud;modules/resources/dockerfiles/wso2as/base/6.0.0-m1/Dockerfile.wso2-appcloud-wso2as-6.0.0-m1.base
aanand/docker-py;Dockerfile
mattf/kubernetes;examples/cluster-dns/images/frontend/Dockerfile
rahulunair/kolla;docker_templates/ceilometer/ceilometer-compute/Dockerfile.j2
Hui-Zhi/kubernetes;examples/storage/cassandra/image/Dockerfile
duguhaotian/docker;contrib/syntax/kate/Dockerfile.xml
james-nesbitt/boch;libraries/docker/libraries/builds/libraries/www-cnpm-jn/builds/www-cnpm-jn-template/Dockerfile
nkuacac/dockerfile;vagrant/Dockerfile
pugnascotia/docker;contrib/builder/deb/ubuntu-debootstrap-wily/Dockerfile
tboquet/okeydockey;the7hc4controler/Dockerfile
tortxof/OpenBazaar;Dockerfile
xivo-pbx/xivo-amid;integration_tests/Dockerfile
StevenLudwig/origin;examples/zookeeper/Dockerfile
cng-thg/dockerfiles;nginx/Dockerfile
docker-nipap/nipapd;Dockerfile
jmferrer/kubernetes;contrib/for-tests/jessie-dnsutils/Dockerfile
stvnwrgs/kubernetes;docs/user-guide/update-demo/images/nautilus/Dockerfile
Hokutosei/kubernetes;examples/k8petstore/redis-master/Dockerfile
charleswhchan/docker;vendor/src/github.com/docker/notary/signer.Dockerfile
comzeradd/feedthefox;Dockerfile
skolome/son-examples;vnfs/sonata-son-emu-sap-docker/Dockerfile
tech2free/kubernetes;examples/k8petstore/redis-slave/Dockerfile
XuWanHong/cockroach-1;build/deploy/Dockerfile
anyinfa/docker-meteor;Dockerfile
im-denisenko/Elastica;Dockerfile
kubernetes/test-infra;prow/cmd/line/Dockerfile
stefwalter/kubernetes;build/debian-iptables/Dockerfile
teotihuacanada/docker;Dockerfile.gccgo
buddycloud/dockerfiles;buddycloud-stack/Dockerfile
packagepeer/docker-api;Dockerfile
ploxiln/docker-mongodb;Dockerfile
romain-ortega/nanocloud;Dockerfile-dev
kamilwaheed/islamabad.js;Dockerfile
hhorak/Fedora-Dockerfiles;systemd/wordpress_single_container/Dockerfile
lucasvo-taulia/kubernetes;cluster/mesos/docker/km/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/signal/sigtools.so
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/html/static/components/codemirror/mode/markdown/test.js
eldarion-gondor/kubernetes;test/images/netexec/Dockerfile
nanobox-images/boot2docker;Dockerfile.experimental
slogsdon/develop-on-docker;develop-php/Dockerfile
gileshinchcliff/docker-clamav;clamav-rest/Dockerfile
scivm/docker-scientific-python;scientific-python-2.5-intel/Dockerfile
democracyworks/partner-http-api;Dockerfile
hurricanehrndz/docker-containers;subsonic-stable/Dockerfile
HEG-Arc/paleo-2015-gestionair-web;Dockerfile
andreslechuga/arte_mexicano_antiguo;felipegerard/code/luigi/docker/Dockerfile
tushar-dadlani/garden-linux-release;src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
beyondthestory/docker-registry-frontend;develop/Dockerfile
tikaa/msf4j;samples/petstore/dev/kubernetes-vagrant-coreos-cluster/docker/frontend_user/container/Dockerfile
DBCDK/docker;man/Dockerfile.5.md
cglewis/bowl;bowl/containers/.default/services/ubuntu/precise/databases/dockerfiles/mysql/Dockerfile
yangjae/grpc;tools/dockerfile/grpc_clang/Dockerfile
yarko/origin;images/deployer/Dockerfile
1yvT0s/docker;vendor/src/github.com/docker/distribution/Dockerfile
ekuric/docker;builder/dockerfile/parser/testfiles/multiple-volumes/Dockerfile
GrimDerp/flynn;appliance/postgresql/Dockerfile
elancom/docker;builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
huikang/docker;vendor/src/github.com/docker/libcontainer/Dockerfile
Mikebook/docker;builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
jupierce/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/env/Dockerfile
kubernetes/kops;vendor/github.com/docker/docker/docs/examples/running_ssh_service.Dockerfile
mwhudson/docker;integration-cli/build_tests/TestBuildWithInaccessibleFilesInContext/ignoredinaccessible/Dockerfile
Pensu/kubernetes;test/images/pets/zookeeper/Dockerfile
gashcrumb/origin;vendor/k8s.io/kubernetes/examples/k8petstore/redis-master/Dockerfile
rrati/kubernetes;examples/k8petstore/redis-master/Dockerfile
sosiouxme/origin;images/builder/docker/custom-docker-builder/Dockerfile
vongalpha/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/influxdb/Dockerfile
hingstarne/origin;Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile
kadel/Dockerfiles;cdh5/cdh5-base/Dockerfile
moul/image-debian;jessie/Dockerfile
sky-uk/kubernetes;test/images/volumes-tester/gluster/Dockerfile
freehan/kubernetes;hack/gen-swagger-doc/Dockerfile
sitepod/kubernetes;examples/rethinkdb/image/Dockerfile
AlainRoy/kubernetes;examples/meteor/dockerbase/Dockerfile
sidharthgoel/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
thunderboltsid/grpc;templates/tools/dockerfile/test/cxx_jessie_x64/Dockerfile.template
LacledesLAN/LANYWARE;repos/ll/gamesvr-minecraft/Dockerfile.linux
phoebo/image-builder;Dockerfile
rootchina/kubernetes;docs/user-guide/environment-guide/containers/backend/Dockerfile
evandbrown/kubernetes;docs/design/clustering/Dockerfile
guttertec/dockerfiles;hubot/Dockerfile
hairyhenderson/docker;builder/dockerfile/parser/testfiles/nginx/Dockerfile
rangeadept/helloworld;Dockerfile
shakamunyi/kubernetes;release-0.20.0/examples/celery-rabbitmq/celery-app-add/Dockerfile
ingvagabund/kubernetes;cluster/images/hyperkube/Dockerfile
ibm-contribs/kubernetes;test/images/goproxy/Dockerfile
ClashTheBunny/kubernetes;contrib/for-tests/volumes-tester/gluster/Dockerfile
mikelangelo-project/unik;containers/compilers/rump/base/Dockerfile.xen
jgriffiths1993/kubernetes;test/soak/cauldron/Dockerfile
zokeber/docker-icecast-kh;Dockerfile
SunWeicheng0001/kubernetes;test/images/goproxy/Dockerfile
resin-io-library/base-images;node/parallella-hdmi-resin/alpine/default/slim/Dockerfile
VictorHidalgoVT/NUBOMEDIA-VCA;apps/NuboFaceProfileJava/Dockerfile
Pardus-Kurumsal/ulakbus-zcloud;containers/haproxy-confd-redis/Dockerfile
thomasleyer/Fedora-Dockerfiles;lapis/Dockerfile
geekdenz/docker-lamp-silverstripe;Dockerfile
OrganicCoffeeNepal/DockerBeanstalkSample;Dockerfile
husio/kafka;integration/kafka-docker/Dockerfile
rhuss/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
dqminh/docker;builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
vmware/docker;builder/parser/testfiles/multiple-volumes/Dockerfile
aaijazi/vitess;docker/etcd/Dockerfile
roxyboy/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
rtnpro/contrib;for-demos/test-webserver/Dockerfile
Kees-V/openalpr;Dockerfile
akihikot/fabric;images/app/Dockerfile.in
tsuru/platforms;static/Dockerfile
zhuohual/docker;docs/examples/apt-cacher-ng.Dockerfile
aianus/tor-relay;Dockerfile
dtzWill/ipcopter;docker/apache/Dockerfile
lansedefen/dpark;docker/base/Dockerfile
mimoralea/docker;builder/parser/testfiles/mumble/Dockerfile
pkdevbox/stratos;tools/docker-images/stratos-docker-images/stratos/Dockerfile
murgatroid99/grpc;tools/dockerfile/distribtest/python_centos6_x64/Dockerfile
shrids/kubernetes;examples/cassandra/image/Dockerfile
solanolabs/docker;Dockerfile.ppc64le
volkstrader/redis;Dockerfile
xiaozi0lei/docker;contrib/builder/deb/debian-wheezy/Dockerfile
LEDS/sipac-backend;dockerfiles/pentaho-pdi/Dockerfile
bfallik/kubernetes;cluster/addons/dns/kube2sky/Dockerfile
bybyby/letsencrypt;Dockerfile-dev
iterion/kubernetes;test/images/volumes-tester/iscsi/Dockerfile
justyntemme/docker;contrib/builder/deb/amd64/debian-stretch/Dockerfile
cjcullen/kubernetes;cluster/addons/registry/images/Dockerfile
jianhuiz/kubernetes;test/images/volumes-tester/ceph/Dockerfile
xiaojingchen/docker;contrib/desktop-integration/chromium/Dockerfile
lanshark/django-shop;docker/fedora-uwsgi-python/Dockerfile
radoondas/apachebeat;vendor/github.com/elastic/beats/testing/environments/docker/logstash/Dockerfile-2.3.0
ruffsl/docker_images;gazebo/gazebo4/libgazebo4/Dockerfile
NrgXnat/docker-client;src/test/resources/dockerDirectoryNeedsAuth/Dockerfile
YuanZhewei/kubernetes;examples/phabricator/php-phabricator/Dockerfile
mistsys/influxdb-java;Dockerfile
cilium-team/kubernetes;test/images/resource-consumer/Dockerfile
helderco/docker-drupal;5.6/Dockerfile
lovishdogra/kubernetes;examples/k8petstore/redis-master/Dockerfile
stackio/ansible-docker;centos7-systemd/Dockerfile
ThePlatzhalter/InspIRCD;Dockerfile
invenfantasy/kubernetes;examples/meteor/dockerbase/Dockerfile
sagentio/docker-graylog;Dockerfile
ihrwein/syslog-ng-docker;Dockerfiles/basic-build-environments/ubuntu_trusty/ubuntu_apt_requirements.txt
Kisung/jira-comment-slack;Dockerfile
gaoyifan/smartentry-images;debian/unstable/Dockerfile
bdelacretaz/sling-adaptto-2016;sling-images/images/asset-worker/src/main/docker/Dockerfile
tdeheurles/kube-jenkins-imager;Dockerfile.test
tryagainconcepts/docker-gevent;numpy/Dockerfile
linux-china/building-microservices;livelessons-cloud/livelessons-cloud-docker/Dockerfile
Starefossen/docker-node-imagemagick;4-6/Dockerfile
meeds/unote;src/main/webapp/bower_components/swagger-ui/Dockerfile
rhuss/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
sreecha/grpc;templates/tools/dockerfile/interoptest/grpc_interop_java/Dockerfile.template
xiaods/docker;builder/dockerfile/parser/testfiles/mumble/Dockerfile
achanda/docker;contrib/builder/deb/amd64/ubuntu-precise/Dockerfile
tidwall/tile38;Dockerfile
tonyli71/kolla;docker/ceilometer/ceilometer-compute/Dockerfile
daehyeok/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
jcanizales/grpc;templates/tools/dockerfile/test/multilang_jessie_x64/Dockerfile.template
kokhang/contrib;perfdash/Dockerfile
marten/Panoptes;dockerfiles/Dockerfile.dev
rhuss/gofabric8;vendor/github.com/docker/docker/contrib/builder/deb/ubuntu-debootstrap-precise/Dockerfile
NanoCAN/HiTSeekR;Dockerfile
PandaPup/vanilla;launch/vanilla/Dockerfile
bbox-kula/docker;man/Dockerfile.5.md
inlandsee/origin;test/extended/testdata/gssapi/proxy/Dockerfile
Djelibeybi/docker;contrib/builder/rpm/amd64/centos-7/Dockerfile
bnprss/kubernetes;contrib/for-tests/network-tester/Dockerfile
brianbirke/docker;builder/parser/testfiles/multiple-volumes/Dockerfile
mikedanese/docker;builder/dockerfile/parser/testfiles/influxdb/Dockerfile
naoki912/wcdiwiki;docker/Dockerfile
sfsmithcha/docker;vendor/src/golang.org/x/net/http2/Dockerfile
areski/dockerfiles;mongodb/Dockerfile
ayr-ton/kubernetes;contrib/git-sync/demo/hugo/Dockerfile
jay754/dockerfiles;tor-relay/Dockerfile
krousey/kubernetes;examples/k8petstore/web-server/Dockerfile
rabbitcount/docker;builder/parser/testfiles/flags/Dockerfile
transistor1/chrome;deb-stable/Dockerfile
JanetKuo/kubernetes;examples/redis/image/Dockerfile
fabric8io/gofabric8;vendor/k8s.io/kubernetes/test/images/volumes-tester/ceph/Dockerfile
fillup/docker-maven;Dockerfile
jtrimachi/RecipeApp;Dockerfile
mksalawa/kubernetes;cluster/images/etcd-empty-dir-cleanup/Dockerfile
nullren/docker-solr;5.1/Dockerfile
tbronchain/docker-1;contrib/builder/deb/debian-wheezy/Dockerfile
theikkila/lopputili;devDockerfile
michael-donat/docker;contrib/builder/deb/ubuntu-trusty/Dockerfile
mskyttner/ala-docker;nginx/Dockerfile
mssola/zypper-docker;vendor/github.com/docker/docker/Dockerfile
saturnism/kubernetes;cluster/addons/fluentd-elasticsearch/es-image/Dockerfile
asridharan/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
dmcgowan/distribution;docs/Dockerfile
linzichang/kubernetes;test/images/network-tester/Dockerfile
nathanleclaire/docker;contrib/syntax/nano/Dockerfile.nanorc
simonswine/kubernetes;examples/guestbook-go/_src/Dockerfile
thomasfischl/eurydome;docker/mongodb/Dockerfile
ObsessiveOrange/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
RobinsChens/kubernetes;build/kube-dns/Dockerfile
dataduke/dockerfiles-1;inkscape/Dockerfile
mdevilliers/kubernetes;cluster/images/kubelet/Dockerfile
socketplane/docker-ovs;1.7.2/Dockerfile
xiaoping378/kubernetes;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
DockerDemos/http-master;Dockerfile
nubs/docker-php-minimal;php-4.3.3/Dockerfile
osterzel/docker-dashing;Dockerfile
deravo/docker-apache-php;Dockerfile
alanthai/the-clusternator;src/api/0.1/project-fs/skeletons/Dockerfile-node-stable-latest
olivierlemasle/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/io/harwell_boeing/__init__.py
vpavlin/CentOS-Dockerfiles;registry/centos6/Dockerfile
schwansee/kubernetes-deploy;docs/user-guide/environment-guide/containers/show/Dockerfile
MustWin/drone-plugin-webhook;Dockerfile
dustymabe/Fedora-Dockerfiles;cadvisor/Dockerfile
jason-callaway/geogig-server;Dockerfile
developmentseed/planet-stream;Dockerfile
tiaguinho/docker-ubuntu-java8;Dockerfile
xiongjungit/CentOS-Dockerfiles;bind/centos7/Dockerfile
tuanmai/docker-rails-mongo-redis;images/redis/Dockerfile
hnakamur/vagrant-docker-rails-development-example;redis/Dockerfile
grpc/grpc;tools/dockerfile/test/cxx_ubuntu1604_x64/Dockerfile
ykwd/rDSN;deploy/docker/Dockerfile
favll/pogom;Dockerfile
ryjen/arg3db;Dockerfile
ChoyHy/docker;builder/parser/testfiles/brimstone-consuldock/Dockerfile
