openit-lib/saratov.open-it.pro;Dockerfile
vegasbrianc/docker-hello-world;Dockerfile
alonisser/newrelic-plugin-agent;docker/lamp/Dockerfile
kyprizel/certificate-transparency;Dockerfile-ct-mirror
ericdjatsa/hadoop-cdh-pseudo-docker;Dockerfile
plasma147/github-thrift-client-server;docker/plasma147/webinterface/Dockerfile
v47/docker;contrib/host-integration/Dockerfile.min
clhudson2/os;Godeps/_workspace/src/github.com/fsouza/go-dockerclient/Dockerfile.1_3
linjk/docker;builder/parser/testfiles/znc/Dockerfile
ChoyHy/docker;contrib/builder/rpm/fedora-21/Dockerfile
LeKovr/consup;Dockerfiles/consul/consul/src/consul-server.json
LeKovr/consup;Dockerfiles/modperl/consul/src/consul.json
akhil/dockers;sbt-scala-jzmq/Dockerfile
myfear/origin;Godeps/_workspace/src/k8s.io/kubernetes/docs/user-guide/update-demo/images/nautilus/Dockerfile
vu-bui/docker;base/ubuntu/Dockerfile
SamYaple/kolla;docker_templates/cinder/cinder-api/Dockerfile.j2
andyhatman/php;7.0/apache/Dockerfile
dock0/ducktape;meta/Dockerfile
fhergomez/hugo;Dockerfile
ipoerner/cargo;base/Dockerfile.trusty
jkimbo/freight;Dockerfile
xiuwang/origin;Godeps/_workspace/src/k8s.io/kubernetes/cmd/libs/go2idl/go-to-protobuf/build-image/Dockerfile
yfix/semaphore;Dockerfile
ceari/whyattend;Dockerfile
gameduell/kythe;third_party/grpc/tools/dockerfile/grpc_base/Dockerfile
krousey/contrib;pets/mysql/galera/init/Dockerfile
mrvicadai/weave;build/Dockerfile
rajdeepd/docker;docs/man/Dockerfile.5.md
rchicoli/docker;Dockerfile.ppc64le
wayneiny/docker;contrib/builder/deb/ubuntu-trusty/Dockerfile
WASdev/ci.docker;ga/developer/webProfile6/Dockerfile
vikstrous/docker;contrib/syntax/textmate/Docker.tmbundle/Syntaxes/Dockerfile.tmLanguage
eighilaza/bouraka;Dockerfile
jeremyeder/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/escapes/Dockerfile
rboyer/kubernetes;examples/https-nginx/Dockerfile
Nick-Harvey/origin;Godeps/_workspace/src/k8s.io/kubernetes/examples/guestbook/redis-slave/Dockerfile
daniel-j-born/grpc;templates/tools/dockerfile/test/fuzzer/Dockerfile.template
danielsun174/dapid;code/demo-implementation/docker/Dockerfile
juanvallejo/origin;images/openvswitch/Dockerfile
pietern/kubernetes;release-0.20.0/examples/phabricator/php-phabricator/Dockerfile
rlugojr/kubernetes;test/images/mount-tester-user/Dockerfile
senbon/dockerfiles;python3/theano-tf/Dockerfile
fisto/docker-ubuntu;Dockerfile
lkrzyzanek/keycloak;testsuite/integration-arquillian/tests/other/mod_auth_mellon/docker2/Dockerfile
wonderfly/kubernetes;examples/guestbook/redis-slave/Dockerfile
Jandersoft/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
callkalpa/product-mss;samples/petstore/dev/kubernetes-vagrant-coreos-cluster/docker/security/docker/Dockerfile
johscheuer/kubernetes;cluster/addons/python-image/Dockerfile
skyportsystems/vitess;examples/kubernetes/guestbook/Dockerfile
christian-posta/origin;Godeps/_workspace/src/k8s.io/kubernetes/docs/user-guide/liveness/image/Dockerfile
gabrielhartmann/docker;contrib/syntax/kate/Dockerfile.xml
sipwise/docker-deb-pkg;docs/articles/https/Dockerfile
Kyah/docker-htpcmanager;Dockerfile
armbuild/buildpack-deps;sid/scm/Dockerfile
dafrista/incubator-reef;dev/docker/ubuntu12.04-jdk7-hdp2.1.15/Dockerfile
hall757/guacamole-mysql;datavolume/Dockerfile
justanshulsharma/docker;builder/parser/testfiles/mail/Dockerfile
pjcj/devel-cover-docker;perl-5.20.0/Dockerfile
seadowg/hockey-resource;Dockerfile
srichatala/MEANStackApp;MeanApp/Dockerfile
bacongobbler/dockerfiles;python/Dockerfile
dharmit/nulecule-library;skydns-atomicapp/Dockerfile
hhorak/rhscl-dockerfiles;centos7.devtoolset-3-valgrind/Dockerfile
nownabe/docker-ruby_base;app/Dockerfile
pires/docker-haproxy-ssl;Dockerfile
juju-solutions/kubernetes;test/images/volumes-tester/rbd/Dockerfile
juju-solutions/kubernetes;build/kube-dns/Dockerfile
memikequinn/lfs-server-go;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/khmer-1.1-py2.7-linux-x86_64.egg/khmer/tests/test-data/goodversion-k12.ht
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/spatial/ckdtree.so
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/boto-2.19.0-py2.7.egg/boto/dynamodb2/exceptions.pyc
proegssilb/weary-examiner;db/riak/Dockerfile
robdodson/WebFundamentals;Dockerfile
LalatenduMohanty/kubernetes;docs/user-guide/liveness/image/Dockerfile
resin-io-library/base-images;node/nuc/fedora/0.10/Dockerfile
andela-tgberikon/HelpDesk-Lite;Dockerfile
kyrylo/pry;Dockerfile
ejona86/grpc;tools/dockerfile/distribtest/ruby_centos7_x64/Dockerfile
ferbe/docker;contrib/syntax/textmate/Docker.tmbundle/Syntaxes/Dockerfile.tmLanguage
Gobella/docker;builder/dockerfile/parser/testfiles/flags/Dockerfile
Means88/docker;builder/parser/testfiles/mail/Dockerfile
dgageot/docker;builder/parser/testfiles/brimstone-consuldock/Dockerfile
jmartin84/glue;Dockerfile
pulcy/ha-redis;vendor/github.com/docker/docker/contrib/builder/deb/armhf/raspbian-jessie/Dockerfile
Collinux/docker;contrib/builder/deb/debian-jessie/Dockerfile
ailispaw/docker;vendor/src/github.com/docker/notary/Dockerfile
clnperez/docker;contrib/builder/rpm/amd64/oraclelinux-7/Dockerfile
fearenales/dind;Dockerfiles/debian/Dockerfile
ibab/tensorflow;tensorflow/tools/ci_build/Dockerfile.tensorboard
rabi/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
sg00dwin/origin;vendor/k8s.io/kubernetes/examples/k8petstore/web-server/Dockerfile
NUOCW/docker-php;5.6/apache/Dockerfile
li-ang/kapacitor;vendor/github.com/influxdata/influxdb/Dockerfile_test_ubuntu32
surround-io/grpc;tools/dockerfile/grpc_cxx/Dockerfile
Flast/environment;latex/Dockerfile
afan1/rvi_backend;Dockerfile.ubuntu
deepaklukose/grpc;tools/dockerfile/distribtest/node_ubuntu1510_x64/Dockerfile
ezrasilvera/swarm;test/integration/Dockerfile
maisem/kubernetes;examples/storage/mysql-galera/image/Dockerfile
binhex/fork-docker;builder/parser/testfiles/flags/Dockerfile
bq-xiao/kubernetes;contrib/for-demos/serve_hostname/Dockerfile
daxnet/daxnet-blog;src/DaxnetBlog.DbMigration/Dockerfile
fastnsilver/grivet;core/deployables/query/src/main/docker/Dockerfile
mbruzek/kubernetes;cluster/addons/python-image/Dockerfile
